Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
304,Caleb Houstan,22,ORL,SF,2,0,10,2,3,0.667,2,3,0.667,0,0,,1,0,0,,0,1,1,0,0,0,0,2,6,,houstca01
305,Kai Jones,24,LAC,C,3,0,21,3,6,0.5,0,0,,3,6,0.5,0.5,0,0,,3,4,7,1,0,1,0,3,6,,joneska01
306,Brandon Miller,22,CHO,SF,1,1,11,2,4,0.5,1,2,0.5,1,2,0.5,0.625,1,1,1,1,0,1,1,1,0,1,0,6,,millebr02
307,Shake Milton,28,BRK,SG,4,0,41,2,8,0.25,2,7,0.286,0,1,0,0.375,0,0,,0,2,2,5,1,0,0,5,6,,miltosh01
308,Jericho Sims,26,NYK,C,3,0,43,3,4,0.75,0,0,,3,4,0.75,0.75,0,0,,4,8,12,1,0,2,1,2,6,,simsje01
309,James Wiseman,23,IND,C,1,0,5,2,4,0.5,0,1,0,2,3,0.667,0.5,2,2,1,0,1,1,0,0,0,0,0,6,,wisemja01
310,Dalano Banton,25,POR,SF,3,0,13,2,5,0.4,1,2,0.5,1,3,0.333,0.5,0,3,0,0,2,2,2,0,0,1,0,5,,bantoda01
311,Goga Bitadze,25,ORL,C,3,0,17,2,4,0.5,0,1,0,2,3,0.667,0.5,1,2,0.5,2,3,5,1,0,1,2,1,5,,bitadgo01
312,Matas Buzelis,20,CHI,SF,4,0,24,2,10,0.2,0,5,0,2,5,0.4,0.2,1,2,0.5,1,2,3,3,1,0,1,5,5,,buzelma01
313,Alex Caruso,30,OKC,PG,3,0,62,2,10,0.2,1,6,0.167,1,4,0.25,0.25,0,1,0,3,7,10,7,5,4,3,6,5,,carusal01
314,Josh Green,24,CHO,SG,1,0,18,2,5,0.4,1,3,0.333,1,2,0.5,0.5,0,0,,1,2,3,2,1,1,0,4,5,,greenjo02
315,Maxi Kleber,33,DAL,PF,2,0,31,2,5,0.4,1,2,0.5,1,3,0.333,0.5,0,0,,0,5,5,3,0,1,0,3,5,,klebima01
316,Alex Len,31,SAC,C,4,0,27,2,5,0.4,0,1,0,2,4,0.5,0.4,1,2,0.5,0,9,9,5,1,2,3,4,5,,lenal01
317,Dario Šarić,30,DEN,PF,4,0,39,2,9,0.222,0,1,0,2,8,0.25,0.222,1,2,0.5,2,4,6,1,1,0,2,3,5,,saricda01
